stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,0,2009,1,Annual,214.5,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-0.4,,US,United States
0,0,0,1,2009,3,Monthly,211.1,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",0,0.4,US,United States
0,0,0,1,2009,3,Monthly,212.2,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-0.2,0.3,US,United States
0,0,0,2,2009,3,Monthly,212.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",4,0.5,US,United States
0,0,0,2,2009,3,Monthly,213,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",0.1,0.4,US,United States
8,2,24,12,2007,7,Semi-Annual,202.8,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.9,,CO,Denver/Boulder/Greeley
0,0,0,3,2009,3,Monthly,212.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-0.4,0.2,US,United States
0,0,0,3,2009,3,Monthly,212.7,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-0.4,-0.1,US,United States
0,0,0,4,2009,3,Monthly,213.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-0.7,0.2,US,United States
0,0,0,4,2009,3,Monthly,212.7,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-0.6,0,US,United States
0,0,0,5,2009,3,Monthly,213.9,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-1.3,0.3,US,United States
0,0,0,5,2009,3,Monthly,212.9,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-1,0.1,US,United States
0,0,0,6,2009,3,Monthly,211,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-2,1.1,US,United States
0,0,0,6,2009,3,Monthly,209.5,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-1.7,0.9,US,United States
8,2,24,12,2009,7,Semi-Annual,446.2,CPI-U:  Medical Care,56,1,"US DOL, Bureau of Labor Statistics",0.9,,CO,Denver/Boulder/Greeley
0,0,0,7,2009,3,Monthly,215.4,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-2.1,-0.2,US,United States
0,0,0,7,2009,3,Monthly,214.5,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-1.9,0,US,United States
0,0,0,8,2009,3,Monthly,215.8,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-1.5,0.2,US,United States
0,0,0,8,2009,3,Monthly,215.4,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-1.4,0.4,US,United States
0,0,0,9,2009,3,Monthly,216,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-1.3,0.1,US,United States
0,0,0,9,2009,3,Monthly,215.8,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-1.3,0.2,US,United States
0,0,0,10,2009,3,Monthly,216.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",-0.2,0.1,US,United States
0,0,0,10,2009,3,Monthly,216.4,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",-0.2,0.3,US,United States
8,2,24,12,2009,7,Semi-Annual,133.7,CPI-U:  Recreation,57,1,"US DOL, Bureau of Labor Statistics",2.7,,CO,Denver/Boulder/Greeley
0,0,0,11,2009,3,Monthly,216.3,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.8,0.1,US,United States
0,0,0,11,2009,3,Monthly,217.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.9,0.4,US,United States
